ts_utc,open,high,low,close,volume
2025-07-15 16:54:00+02:00,1.16187,1.16192,1.16174,1.16186,202
2025-07-15 16:55:00+02:00,1.16186,1.16186,1.16177,1.16182,160
2025-07-15 16:56:00+02:00,1.16182,1.1619,1.1618,1.1618,157
2025-07-15 16:57:00+02:00,1.16181,1.1619,1.16174,1.1619,187
2025-07-15 16:58:00+02:00,1.16188,1.162,1.1618,1.16196,214
2025-07-15 16:59:00+02:00,1.16196,1.16203,1.16185,1.16186,192
2025-07-15 17:00:00+02:00,1.16186,1.16186,1.1617,1.16175,198
2025-07-15 17:01:00+02:00,1.16175,1.16177,1.1616,1.16161,183
2025-07-15 17:02:00+02:00,1.16163,1.16172,1.16152,1.16172,168
2025-07-15 17:03:00+02:00,1.16172,1.16172,1.1613,1.16136,300
2025-07-15 17:04:00+02:00,1.16136,1.16148,1.1613,1.16134,165
2025-07-15 17:05:00+02:00,1.16134,1.1616,1.16124,1.16149,189
2025-07-15 17:06:00+02:00,1.16149,1.1615,1.16137,1.16139,197
2025-07-15 17:07:00+02:00,1.16138,1.16158,1.16136,1.16151,151
2025-07-15 17:08:00+02:00,1.16152,1.16167,1.1615,1.16166,143
2025-07-15 17:09:00+02:00,1.16167,1.16184,1.16161,1.16174,144
2025-07-15 17:10:00+02:00,1.16174,1.16182,1.16159,1.1616,211
2025-07-15 17:11:00+02:00,1.1616,1.1617,1.16153,1.16155,199
2025-07-15 17:12:00+02:00,1.16154,1.16166,1.16149,1.1615,191
2025-07-15 17:13:00+02:00,1.1615,1.1615,1.16126,1.16132,126
2025-07-15 17:14:00+02:00,1.16132,1.16164,1.1613,1.16148,205
2025-07-15 17:15:00+02:00,1.16148,1.16154,1.16136,1.1614,134
2025-07-15 17:16:00+02:00,1.16139,1.16139,1.16122,1.16128,121
2025-07-15 17:17:00+02:00,1.16129,1.16138,1.16126,1.16131,102
2025-07-15 17:18:00+02:00,1.1613,1.16135,1.16109,1.16119,140
2025-07-15 17:19:00+02:00,1.16118,1.16127,1.16112,1.16124,155
2025-07-15 17:20:00+02:00,1.16124,1.16124,1.1611,1.1611,138
2025-07-15 17:21:00+02:00,1.1611,1.16124,1.16105,1.1612,142
2025-07-15 17:22:00+02:00,1.1612,1.16124,1.16112,1.1612,129
2025-07-15 17:23:00+02:00,1.16119,1.16124,1.16107,1.16109,107
2025-07-15 17:24:00+02:00,1.1611,1.16119,1.16107,1.16118,153
2025-07-15 17:25:00+02:00,1.1612,1.16122,1.16102,1.16103,116
2025-07-15 17:26:00+02:00,1.16104,1.16125,1.16102,1.16125,160
2025-07-15 17:27:00+02:00,1.16126,1.1617,1.16126,1.1617,202
2025-07-15 17:28:00+02:00,1.1617,1.16173,1.1614,1.16146,216
2025-07-15 17:29:00+02:00,1.16147,1.16148,1.16106,1.16108,197
2025-07-15 17:30:00+02:00,1.16108,1.1611,1.16087,1.16096,251
2025-07-15 17:31:00+02:00,1.16096,1.16096,1.16082,1.16083,206
2025-07-15 17:32:00+02:00,1.16082,1.16088,1.16064,1.1607,177
2025-07-15 17:33:00+02:00,1.16071,1.16071,1.16027,1.16034,245
2025-07-15 17:34:00+02:00,1.16036,1.16048,1.16024,1.16029,209
2025-07-15 17:35:00+02:00,1.16027,1.1603,1.16008,1.1602,160
2025-07-15 17:36:00+02:00,1.16022,1.1603,1.16019,1.16025,110
2025-07-15 17:37:00+02:00,1.16024,1.1604,1.1602,1.16039,135
2025-07-15 17:38:00+02:00,1.16038,1.16052,1.16029,1.16042,182
2025-07-15 17:39:00+02:00,1.16041,1.16056,1.16038,1.16053,141
2025-07-15 17:40:00+02:00,1.16054,1.16068,1.16039,1.16039,173
2025-07-15 17:41:00+02:00,1.1604,1.16054,1.16037,1.1605,144
2025-07-15 17:42:00+02:00,1.16048,1.16068,1.16048,1.16067,178
2025-07-15 17:43:00+02:00,1.16068,1.1611,1.16067,1.16104,228
2025-07-15 17:44:00+02:00,1.16102,1.16102,1.16084,1.16086,143
2025-07-15 17:45:00+02:00,1.16086,1.16088,1.1608,1.16082,116
2025-07-15 17:46:00+02:00,1.16082,1.16092,1.16069,1.16088,153
2025-07-15 17:47:00+02:00,1.16086,1.16107,1.16083,1.16106,136
2025-07-15 17:48:00+02:00,1.16108,1.16142,1.16107,1.16132,225
2025-07-15 17:49:00+02:00,1.16134,1.16142,1.1613,1.16134,165
2025-07-15 17:50:00+02:00,1.16136,1.16136,1.16112,1.16116,141
2025-07-15 17:51:00+02:00,1.16116,1.16126,1.16108,1.16122,167
2025-07-15 17:52:00+02:00,1.16121,1.16121,1.161,1.1611,88
2025-07-15 17:53:00+02:00,1.16109,1.16131,1.16108,1.16128,113
2025-07-15 17:54:00+02:00,1.1613,1.16139,1.16128,1.16128,154
2025-07-15 17:55:00+02:00,1.16128,1.1613,1.16114,1.16115,109
2025-07-15 17:56:00+02:00,1.16115,1.16147,1.16108,1.16147,151
2025-07-15 17:57:00+02:00,1.16146,1.16164,1.16144,1.16164,198
2025-07-15 17:58:00+02:00,1.16163,1.16176,1.16156,1.16176,205
2025-07-15 17:59:00+02:00,1.16176,1.16184,1.16168,1.1618,236
2025-07-15 18:00:00+02:00,1.16182,1.16197,1.16182,1.1619,204
2025-07-15 18:01:00+02:00,1.1619,1.16205,1.16186,1.16186,219
2025-07-15 18:02:00+02:00,1.16186,1.16194,1.16168,1.1617,172
2025-07-15 18:03:00+02:00,1.1617,1.1617,1.16152,1.16158,137
2025-07-15 18:04:00+02:00,1.1616,1.1616,1.16144,1.16144,102
2025-07-15 18:05:00+02:00,1.16144,1.16147,1.1613,1.16138,122
2025-07-15 18:06:00+02:00,1.16138,1.16139,1.16112,1.16112,110
2025-07-15 18:07:00+02:00,1.1611,1.16114,1.16094,1.16094,123
2025-07-15 18:08:00+02:00,1.16094,1.16101,1.16091,1.161,107
2025-07-15 18:09:00+02:00,1.16096,1.16097,1.16078,1.1608,171
2025-07-15 18:10:00+02:00,1.1608,1.1609,1.16077,1.1609,136
2025-07-15 18:11:00+02:00,1.16089,1.16097,1.16082,1.1609,127
2025-07-15 18:12:00+02:00,1.1609,1.1609,1.16062,1.16072,157
2025-07-15 18:13:00+02:00,1.1607,1.16076,1.16065,1.16074,109
